City,Store_Name,Street_Address,City_Name,State,Zip_Code,Country,Phone,Latitude,Longitude
Brooklyn,Trader Joe's Brooklyn - City Point (547),445 Gold St,Brooklyn,NY,11201,US,(718) 243-0107,40.6914157,-73.982755
Brooklyn,Trader Joe's Brooklyn - Williamsburg (548),200 Kent Ave,Brooklyn,NY,11249,US,(718) 218-7315,40.716489,-73.9660311
Brooklyn,Trader Joe's Brooklyn (558),130 Court St,Brooklyn,NY,11201,US,(718) 246-8460,40.68952075,-73.9928555596744
Buffalo,Trader Joe's Amherst (536),1565 Niagara Falls Blvd,Buffalo,NY,14228,US,(716) 833-4687,42.9983869,-78.8207969
Colonie,Trader Joe's Colonie/Albany (535),79 Wolf Rd,Colonie,NY,12205,US,(518) 482-4538,42.71421435,-73.81208684577993
Commack,Trader Joe's Commack (551),5900 Jericho Turnpike,Commack,NY,11725,US,(631) 499-0898,40.8402952,-73.3074897
Garden City,Trader Joe's Westbury (550),910 Old Country Rd,Garden City,NY,11530,US,(516) 794-0174,40.7445181,-73.6041239
Hartsdale,Trader Joe's Hartsdale (533),215 N Central Ave,Hartsdale,NY,10530,US,(914) 997-1960,41.025499,-73.7934466
Hewlett,Trader Joe's Hewlett (554),1280 West Broadway,Hewlett,NY,11557,US,(516) 569-7191,40.6392458,-73.70171898763786
Ithaca,Trader Joe's Ithaca (568),744 S Meadow Street,Ithaca,NY,14850,US,(607) 272-1420,42.4282228,-76.510214
Larchmont,Trader Joe's Larchmont (532),1260 Boston Post Rd,Larchmont,NY,10538,US,(914) 833-9112,40.938228,-73.7465468
Merrick,Trader Joe's Merrick (553),1714 Merrick Rd,Merrick,NY,11566,US,(516) 771-1012,40.65372764705882,-73.55878379411766
New York,Trader Joe's 72nd & Broadway (542),2073 Broadway,New York,NY,10023,US,(212) 799-0028,40.7785925,-73.9822755
New York,Trader Joe's Chelsea (543),675 6th Ave,New York,NY,10010,US,(212) 255-2106,40.7418779,-73.9938343
New York,Trader Joe's East Village (546),436 East 14th St,New York,NY,10009,US,(212) 777-9412,40.7305095,-73.9810994
New York,Trader Joe's Harlem (576),123 W 125th St,New York,NY,10027,US,(646) 337-1986,40.808147224489794,-73.94614669387755
New York,Trader Joe's New York - Murray Hill (544),200 E 32nd St,New York,NY,10016,US,(212) 889-3279,40.7439285,-73.97902272055029
New York,Trader Joe's SoHo (539),233 Spring Street,New York,NY,10013,US,(212) 691-2721,40.7257262,-74.0050347
New York,Trader Joe's Union Square (540),142 E 14th St,New York,NY,10003,US,(212) 529-4612,40.7334209,-73.987875
New York,Trader Joe's Upper East Side - Bridgemarket (571),405 E. 59th Street,New York,NY,10022,US,(212) 935-3870,40.7596586,-73.9613341
New York,Trader Joe's Upper West Side (545),670 Columbus Ave,New York,NY,10025,US,(212) 678-1680,40.7908664,-73.9692378
Oceanside,Trader Joe's Oceanside (552),3418 Long Beach Rd,Oceanside,NY,11572,US,(516) 536-9163,40.62680305,-73.64109822690892
Plainview,Trader Joe's Plainview (555),425 S Oyster Bay Rd,Plainview,NY,11803,US,(516) 933-6900,40.7818792,-73.5015393
Queens,Trader Joe's Forest Hills (578),69-65 Yellowstone Blvd,Queens,NY,11375,US,(718) 544-8589,40.7226474,-73.848109
Queens,Trader Joe's Long Island City (565),22-43 Jackson Ave,Queens,NY,11101,US,(718) 472-2672,40.745847600000005,-73.94627490398517
Queens,Trader Joe's Rego Park (557),9030 Metropolitan Ave,Queens,NY,11374,US,(718) 275-1791,40.7111513,-73.8581219
Rochester,Trader Joe's Rochester (534),3349 Monroe Ave,Rochester,NY,14618,US,(585) 248-5011,43.1039528,-77.5417409
Scarsdale,Trader Joe's Scarsdale (531),727 White Plains Rd,Scarsdale,NY,10583,US,(914) 472-2988,40.9723228,-73.8048298
Staten Island,Trader Joe's Staten Island - Tottenville (580),6400 Amboy Rd,Staten Island,NY,10309,US,,40.521687739130435,-74.21690552173912
Staten Island,Trader Joe's Staten Island (559),2385 Richmond Ave,Staten Island,NY,10314,US,(718) 370-1085,40.5899749,-74.1658103
Syracuse,Trader Joe's Syracuse (537),3422 Erie Blvd E,Syracuse,NY,13214,US,(315) 446-1629,43.054110179997785,-76.0990999714449
Yorktown,Trader Joe's Yorktown (567),3240 Crompond Road,Yorktown,NY,10598,US,(914) 737-1460,41.2916847,-73.82422902922201
