Store_Name,Street_Address,City_Name,State,Zip_Code,Phone,Latitude,Longitude,City,Country
Brooklyn Pier 5,Brooklyn Bridge Park Pier 5,Brooklyn,NY,11201,N/A,40.7003,-73.969,,
Trader Joe's Brooklyn - City Point (547),445 Gold St,Brooklyn,NY,11201,(718) 243-0107,40.6914157,-73.982755,Brooklyn,US
Trader Joe's Brooklyn - Williamsburg (548),200 Kent Ave,Brooklyn,NY,11249,(718) 218-7315,40.716489,-73.9660311,Brooklyn,US
Trader Joe's Brooklyn (558),130 Court St,Brooklyn,NY,11201,(718) 246-8460,40.68952075,-73.9928555596744,Brooklyn,US
Trader Joe's Westbury (550),910 Old Country Rd,Garden City,NY,11530,(516) 794-0174,40.7445181,-73.6041239,Garden City,US
Trader Joe's Hewlett (554),1280 West Broadway,Hewlett,NY,11557,(516) 569-7191,40.6392458,-73.70171898763786,Hewlett,US
Trader Joe's Merrick (553),1714 Merrick Rd,Merrick,NY,11566,(516) 771-1012,40.65372764705882,-73.55878379411766,Merrick,US
Trader Joe's 72nd & Broadway (542),2073 Broadway,New York,NY,10023,(212) 799-0028,40.7785925,-73.9822755,New York,US
Trader Joe's Chelsea (543),675 6th Ave,New York,NY,10010,(212) 255-2106,40.7418779,-73.9938343,New York,US
Trader Joe's East Village (546),436 East 14th St,New York,NY,10009,(212) 777-9412,40.7305095,-73.9810994,New York,US
Trader Joe's Harlem (576),123 W 125th St,New York,NY,10027,(646) 337-1986,40.808147224489794,-73.94614669387755,New York,US
Trader Joe's New York - Murray Hill (544),200 E 32nd St,New York,NY,10016,(212) 889-3279,40.7439285,-73.97902272055029,New York,US
Trader Joe's SoHo (539),233 Spring Street,New York,NY,10013,(212) 691-2721,40.7257262,-74.0050347,New York,US
Trader Joe's Union Square (540),142 E 14th St,New York,NY,10003,(212) 529-4612,40.7334209,-73.987875,New York,US
Trader Joe's Upper East Side - Bridgemarket (571),405 E. 59th Street,New York,NY,10022,(212) 935-3870,40.7596586,-73.9613341,New York,US
Trader Joe's Upper West Side (545),670 Columbus Ave,New York,NY,10025,(212) 678-1680,40.7908664,-73.9692378,New York,US
Trader Joe's Forest Hills (578),69-65 Yellowstone Blvd,Queens,NY,11375,(718) 544-8589,40.7226474,-73.848109,Queens,US
Trader Joe's Long Island City (565),22-43 Jackson Ave,Queens,NY,11101,(718) 472-2672,40.745847600000005,-73.94627490398517,Queens,US
Trader Joe's Rego Park (557),9030 Metropolitan Ave,Queens,NY,11374,(718) 275-1791,40.7111513,-73.8581219,Queens,US
Trader Joe's Staten Island - Tottenville (580),6400 Amboy Rd,Staten Island,NY,10309,,40.521687739130435,-74.21690552173912,Staten Island,US
Trader Joe's Staten Island (559),2385 Richmond Ave,Staten Island,NY,10314,(718) 370-1085,40.5899749,-74.1658103,Staten Island,US
